selection_model,train_model,features,fpr,tpr,threshold
SVM,SVM,4,"[0.0, 0.0, 0.0, 0.015873015873015872, 0.015873015873015872, 0.1111111111111111, 0.1111111111111111, 1.0]","[0.0, 0.003115264797507788, 0.940809968847352, 0.940809968847352, 0.9968847352024922, 0.9968847352024922, 1.0, 1.0]","[       inf 0.99999194 0.99056801 0.98958001 0.42150656 0.08126792
 0.07811143 0.01138423]"
SVM,DecisionTree,4,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
SVM,XGBoost,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015873015873015872, 0.015873015873015872, 0.06349206349206349, 0.06349206349206349, 0.1746031746031746, 1.0]","[0.0, 0.4672897196261682, 0.5700934579439252, 0.616822429906542, 0.6355140186915887, 0.6510903426791277, 0.660436137071651, 0.6915887850467289, 0.7102803738317757, 0.7133956386292835, 0.7227414330218068, 0.7258566978193146, 0.7414330218068536, 0.7476635514018691, 0.7507788161993769, 0.7632398753894081, 0.8099688473520249, 0.8130841121495327, 0.822429906542056, 0.8286604361370716, 0.881619937694704, 0.8878504672897196, 0.8940809968847352, 0.9034267912772586, 0.9096573208722741, 0.9221183800623053, 0.9252336448598131, 0.9345794392523364, 0.940809968847352, 0.9470404984423676, 0.9781931464174455, 0.9781931464174455, 0.9968847352024922, 0.9968847352024922, 1.0, 1.0, 1.0]","[       inf 0.96956336 0.9677329  0.9674305  0.9672958  0.9672468
 0.9652821  0.9652173  0.96505916 0.96500987 0.9649613  0.9649575
 0.9642362  0.9638462  0.9626385  0.95920783 0.95898795 0.95841676
 0.9580074  0.9547981  0.9545843  0.9507605  0.94983536 0.93749595
 0.9357444  0.93024004 0.92772293 0.9274087  0.91770136 0.9161994
 0.8457386  0.8334591  0.6650187  0.4990207  0.43316215 0.15128298
 0.13610855]"
SVM,RandomForest,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.031746031746031744, 0.06349206349206349, 0.1111111111111111, 0.1746031746031746, 1.0]","[0.0, 0.956386292834891, 0.9781931464174455, 0.9906542056074766, 0.9968847352024922, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.95 0.9  0.85 0.75 0.4  0.35 0.1  0.05 0.  ]
SVM,SVM,5,"[0.0, 0.0, 0.0, 0.015873015873015872, 0.015873015873015872, 0.1111111111111111, 0.1111111111111111, 1.0]","[0.0, 0.003115264797507788, 0.9532710280373832, 0.9532710280373832, 0.9968847352024922, 0.9968847352024922, 1.0, 1.0]","[       inf 1.         0.97112394 0.96386705 0.4412363  0.15289895
 0.12021228 0.00613713]"
SVM,DecisionTree,5,"[0.0, 0.0, 0.015873015873015872, 0.06349206349206349, 0.09523809523809523, 1.0]","[0.0, 0.9813084112149533, 0.9906542056074766, 0.9968847352024922, 1.0, 1.0]",[       inf 1.         0.75       0.4        0.33333333 0.        ]
SVM,XGBoost,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015873015873015872, 0.015873015873015872, 0.031746031746031744, 0.031746031746031744, 0.2222222222222222, 0.2698412698412698, 0.2857142857142857, 0.4444444444444444, 0.47619047619047616, 0.5238095238095238, 0.5714285714285714, 0.6349206349206349, 0.6825396825396826, 0.746031746031746, 0.7619047619047619, 1.0]","[0.0, 0.03115264797507788, 0.3302180685358255, 0.3395638629283489, 0.34579439252336447, 0.37383177570093457, 0.5077881619937694, 0.5358255451713395, 0.5451713395638629, 0.5514018691588785, 0.5669781931464174, 0.5794392523364486, 0.5887850467289719, 0.6012461059190031, 0.616822429906542, 0.632398753894081, 0.6448598130841121, 0.6479750778816199, 0.6635514018691588, 0.6666666666666666, 0.6728971962616822, 0.7289719626168224, 0.7414330218068536, 0.7445482866043613, 0.7507788161993769, 0.7538940809968847, 0.7694704049844237, 0.7757009345794392, 0.7819314641744548, 0.794392523364486, 0.8037383177570093, 0.8068535825545171, 0.822429906542056, 0.8286604361370716, 0.8317757009345794, 0.8473520249221184, 0.8629283489096573, 0.8691588785046729, 0.9595015576323987, 0.9657320872274143, 0.9937694704049844, 0.9937694704049844, 0.9968847352024922, 0.9968847352024922, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9966066  0.996451   0.99620783 0.996049   0.996031
 0.99584913 0.99568594 0.995565   0.99547184 0.9953434  0.99530244
 0.9950355  0.9949549  0.994921   0.99457365 0.9945069  0.9944829
 0.9943896  0.9943581  0.99435645 0.99413306 0.99410015 0.99379456
 0.9935243  0.99347585 0.9932285  0.9931779  0.9929281  0.9928934
 0.9926438  0.9926053  0.9925689  0.9923366  0.9923293  0.99220663
 0.99120915 0.9908466  0.96874845 0.96313727 0.8796613  0.76204515
 0.717622   0.37458795 0.2938281  0.02392029 0.02343031 0.02283017
 0.02219847 0.02115402 0.02065588 0.01929647 0.01874459 0.01747531
 0.01736308 0.01735389 0.01644485]"
SVM,RandomForest,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09523809523809523, 0.15873015873015872, 0.25396825396825395, 0.2857142857142857, 1.0]","[0.0, 0.9376947040498442, 0.9439252336448598, 0.9657320872274143, 0.9688473520249221, 0.9750778816199377, 0.9813084112149533, 0.9906542056074766, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.975      0.95       0.94333333 0.93333333
 0.90833333 0.9        0.75       0.16       0.075      0.05
 0.01       0.        ]"
SVM,SVM,6,"[0.0, 0.0, 0.0, 0.015873015873015872, 0.015873015873015872, 0.14285714285714285, 0.14285714285714285, 1.0]","[0.0, 0.003115264797507788, 0.9875389408099688, 0.9875389408099688, 0.9968847352024922, 0.9968847352024922, 1.0, 1.0]","[       inf 0.9999982  0.96845807 0.95255603 0.24937598 0.06006199
 0.05729389 0.01355182]"
SVM,DecisionTree,6,"[0.0, 0.0, 0.015873015873015872, 1.0]","[0.0, 0.9937694704049844, 1.0, 1.0]",[       inf 1.         0.66666667 0.        ]
DecisionTree,XGBoost,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.015873015873015872, 0.06349206349206349, 0.06349206349206349, 0.1111111111111111, 0.14285714285714285, 0.15873015873015872, 0.2698412698412698, 0.5714285714285714, 1.0]","[0.0, 0.5950155763239875, 0.7040498442367601, 0.7071651090342679, 0.7383177570093458, 0.7414330218068536, 0.7632398753894081, 0.7694704049844237, 0.778816199376947, 0.7819314641744548, 0.7912772585669782, 0.8286604361370716, 0.8317757009345794, 0.838006230529595, 0.8629283489096573, 0.9003115264797508, 0.9158878504672897, 0.9657320872274143, 0.9688473520249221, 0.9750778816199377, 0.9781931464174455, 0.9906542056074766, 0.9968847352024922, 0.9968847352024922, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.99675    0.9958152  0.9939401  0.9913282  0.9884426
 0.98587847 0.98455185 0.9789995  0.97309756 0.9634309  0.95576435
 0.95336217 0.9447637  0.942692   0.9400792  0.93923646 0.934424
 0.9138825  0.7780498  0.684143   0.6209098  0.5596394  0.44382483
 0.44156685 0.19805323 0.10345308 0.08370057 0.08075649 0.07730994
 0.07071931]"
DecisionTree,RandomForest,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09523809523809523, 0.12698412698412698, 0.14285714285714285, 0.30158730158730157, 1.0]","[0.0, 0.9096573208722741, 0.940809968847352, 0.9719626168224299, 0.9813084112149533, 0.9844236760124611, 0.9937694704049844, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.98 0.94 0.92 0.9  0.88 0.7  0.16 0.06 0.04 0.02 0.  ]
DecisionTree,SVM,2,"[0.0, 0.0, 0.0, 0.015873015873015872, 0.015873015873015872, 0.031746031746031744, 0.031746031746031744, 0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.09523809523809523, 1.0]","[0.0, 0.003115264797507788, 0.632398753894081, 0.632398753894081, 0.9906542056074766, 0.9906542056074766, 0.9937694704049844, 0.9937694704049844, 0.9968847352024922, 0.9968847352024922, 1.0, 1.0]","[       inf 0.99999785 0.99137998 0.99126405 0.77502187 0.71045667
 0.69682138 0.52564213 0.5        0.15115912 0.14723123 0.0069526 ]"
