train_model,test_model,features,fpr,tpr,AUC
SVM,XGB,48,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,49,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,49,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,49,[0.         0.11764706 1.        ],[0.         0.97014925 1.        ],0.9262510974539069
SVM,RF,49,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,49,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,50,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,50,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,50,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
SVM,RF,50,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,50,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,51,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,51,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,51,[0.         0.05882353 1.        ],[0.         0.97014925 1.        ],0.9556628621597892
SVM,RF,51,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,51,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,52,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,52,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,52,[0. 0. 1.],[0.         0.97761194 1.        ],0.9888059701492538
SVM,RF,52,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,52,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,53,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,53,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,53,[0.         0.11764706 1.        ],[0.         0.98507463 1.        ],0.9337137840210711
SVM,RF,53,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,53,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,54,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,54,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,54,[0. 0. 1.],[0.         0.97014925 1.        ],0.9850746268656716
SVM,RF,54,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,54,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,55,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,55,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,55,[0. 0. 1.],[0.         0.97014925 1.        ],0.9850746268656716
SVM,RF,55,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,55,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,56,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,56,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,56,[0.         0.11764706 1.        ],[0.         0.97761194 1.        ],0.929982440737489
SVM,RF,56,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,56,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,57,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,57,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,57,[0. 0. 1.],[0.         0.96268657 1.        ],0.9813432835820896
SVM,RF,57,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,57,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,58,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,58,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,58,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
SVM,RF,58,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,58,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,59,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,59,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,59,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,RF,59,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,59,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,60,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,60,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,60,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
SVM,RF,60,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,60,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,61,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,61,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,61,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
SVM,RF,61,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,61,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,62,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,62,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,62,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
SVM,RF,62,[0. 0. 1.],[0. 1. 1.],1.0
SVM,XGB,62,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,63,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,63,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,63,[0.         0.11764706 1.        ],[0.         0.98507463 1.        ],0.9337137840210711
SVM,RF,63,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,XGB,63,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
SVM,SVM,64,[0. 0. 1.],[0. 1. 1.],1.0
SVM,LR,64,[0. 0. 1.],[0. 1. 1.],1.0
SVM,DT,64,[0.         0.11764706 1.        ],[0.         0.98507463 1.        ],0.9337137840210711
SVM,RF,64,[0. 0. 1.],[0. 1. 1.],1.0
