train_model,test_model,features,fpr,tpr,AUC
LR,RF,85,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,85,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,86,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,86,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,86,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,86,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,86,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,87,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,87,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,87,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,87,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,87,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,88,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,88,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,88,[0. 0. 1.],[0. 1. 1.],1.0
LR,RF,88,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,88,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,89,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,89,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,89,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
LR,RF,89,[0. 0. 1.],[0. 1. 1.],1.0
LR,XGB,89,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,90,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,90,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,90,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,90,[0. 0. 1.],[0. 1. 1.],1.0
LR,XGB,90,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,91,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,91,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,91,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,91,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,91,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,92,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,92,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,92,[0. 0. 1.],[0. 1. 1.],1.0
LR,RF,92,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,92,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,93,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,93,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,93,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,93,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,93,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,94,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,94,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,94,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,94,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,94,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,95,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,95,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,95,[0.         0.05882353 1.        ],[0.         0.98507463 1.        ],0.9631255487269534
LR,RF,95,[0. 0. 1.],[0. 1. 1.],1.0
LR,XGB,95,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,96,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,96,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,96,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,96,[0. 0. 1.],[0. 1. 1.],1.0
LR,XGB,96,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,97,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,97,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,97,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,97,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
LR,XGB,97,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,98,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,98,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,98,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
LR,RF,98,[0. 0. 1.],[0. 1. 1.],1.0
LR,XGB,98,[0. 0. 1.],[0. 1. 1.],1.0
LR,SVM,99,[0. 0. 1.],[0. 1. 1.],1.0
LR,LR,99,[0. 0. 1.],[0. 1. 1.],1.0
LR,DT,99,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
LR,RF,99,[0. 0. 1.],[0. 1. 1.],1.0
LR,XGB,99,[0. 0. 1.],[0. 1. 1.],1.0
DT,SVM,20,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,20,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,DT,20,[0.         0.05882353 1.        ],[0.         0.98507463 1.        ],0.9631255487269534
DT,RF,20,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,20,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
DT,SVM,21,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,21,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,DT,21,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,21,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,XGB,21,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
DT,SVM,22,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,22,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,DT,22,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,22,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,XGB,22,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
DT,SVM,23,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,23,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,DT,23,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,23,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,23,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
DT,SVM,24,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,24,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,DT,24,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,24,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,24,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
DT,SVM,25,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,25,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,DT,25,[0.         0.11764706 1.        ],[0.         0.98507463 1.        ],0.9337137840210711
DT,RF,25,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,XGB,25,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,26,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,26,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,DT,26,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
DT,RF,26,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,XGB,26,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,27,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,27,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,DT,27,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,27,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,27,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
DT,SVM,28,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,LR,28,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,DT,28,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,28,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,28,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
DT,SVM,29,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,29,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,29,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,29,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,29,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,30,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,30,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,DT,30,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,30,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,30,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
DT,SVM,31,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,31,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,DT,31,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,31,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,31,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
DT,SVM,32,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,32,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
DT,DT,32,[0. 0. 1.],[0.         0.97014925 1.        ],0.9850746268656716
DT,RF,32,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,XGB,32,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
DT,SVM,33,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,33,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,33,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,33,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,33,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
DT,SVM,34,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,34,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,34,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,34,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,XGB,34,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
DT,SVM,35,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,35,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,35,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
DT,RF,35,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,XGB,35,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
DT,SVM,36,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,36,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,36,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,36,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,36,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
DT,SVM,37,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,37,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,37,[0. 0. 1.],[0.         0.97761194 1.        ],0.9888059701492538
DT,RF,37,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,37,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,38,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,38,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,38,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,38,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,38,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,39,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,39,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,39,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
DT,RF,39,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,39,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,40,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,40,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,40,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,40,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,40,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,41,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,41,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,41,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,41,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,41,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,42,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,42,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,42,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,42,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,42,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,43,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,43,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,43,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,43,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,43,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,44,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,44,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,44,[0.         0.05882353 1.        ],[0.         0.98507463 1.        ],0.9631255487269534
DT,RF,44,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,44,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,45,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,45,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,45,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,45,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,45,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,46,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,46,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,46,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,46,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,46,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,47,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,47,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,47,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
DT,RF,47,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,47,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,48,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,48,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,48,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,48,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,48,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,49,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,LR,49,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,49,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,49,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,49,[0.         0.11764706 1.        ],[0.         0.99253731 1.        ],0.9374451273046531
DT,SVM,50,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,50,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,50,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,50,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,50,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,51,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,51,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,51,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,51,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,XGB,51,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,52,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,52,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,52,[0.         0.05882353 1.        ],[0.         0.98507463 1.        ],0.9631255487269534
DT,RF,52,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,XGB,52,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,53,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,LR,53,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,53,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,53,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,53,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,54,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,54,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,54,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,54,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,54,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,55,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,55,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,DT,55,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,55,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,55,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,56,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,56,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,56,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,56,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,XGB,56,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,57,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,57,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,57,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,57,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,57,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,58,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,58,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,58,[0. 0. 1.],[0.         0.97761194 1.        ],0.9888059701492538
DT,RF,58,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,XGB,58,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,59,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,59,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,59,[0. 0. 1.],[0.         0.97761194 1.        ],0.9888059701492538
DT,RF,59,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,XGB,59,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,60,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,60,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,60,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,60,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,60,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,61,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,61,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,61,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,61,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,61,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,62,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,62,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,62,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,62,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,XGB,62,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,63,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,63,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,63,[0.         0.05882353 1.        ],[0.         0.98507463 1.        ],0.9631255487269534
DT,RF,63,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,63,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,64,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,64,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,64,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,64,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,64,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,65,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,65,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,65,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,65,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,65,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,66,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,66,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,66,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,66,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,66,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,67,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,67,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,67,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,67,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,67,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,68,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,68,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,68,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,68,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,XGB,68,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,69,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,69,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,69,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
DT,RF,69,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,69,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,70,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,70,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,70,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,70,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,70,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,71,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,71,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,71,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,71,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,71,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,72,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,72,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,72,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,72,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,72,[0.         0.11764706 1.        ],[0. 1. 1.],0.9411764705882353
DT,SVM,73,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,73,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,73,[0.         0.05882353 1.        ],[0.         0.97761194 1.        ],0.9593942054433714
DT,RF,73,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,73,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,74,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,74,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,74,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,74,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,XGB,74,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,75,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,75,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,75,[0. 0. 1.],[0.         0.99253731 1.        ],0.9962686567164178
DT,RF,75,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,XGB,75,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,76,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,76,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,76,[0. 0. 1.],[0.         0.98507463 1.        ],0.9925373134328358
DT,RF,76,[0. 0. 1.],[0. 1. 1.],1.0
DT,XGB,76,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,77,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,77,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,77,[0. 0. 1.],[0.         0.97761194 1.        ],0.9888059701492538
DT,RF,77,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,XGB,77,[0.         0.05882353 1.        ],[0. 1. 1.],0.9705882352941176
DT,SVM,78,[0. 0. 1.],[0. 1. 1.],1.0
DT,LR,78,[0. 0. 1.],[0. 1. 1.],1.0
DT,DT,78,[0.         0.05882353 1.        ],[0.         0.99253731 1.        ],0.9668568920105355
DT,RF,78,[0. 0. 1.],[0. 1. 1.],1.0
