Gene name,GO domain,GO term accession
ACOT7,molecular_function,GO:0052689
ACOT7,cellular_component,GO:0005829
ACOT7,cellular_component,GO:0005829
ACOT7,cellular_component,GO:0070062
ACOT7,cellular_component,GO:0005654
ACOT7,molecular_function,GO:0042803
ACOT7,molecular_function,GO:0000062
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0036042
ACOT7,molecular_function,GO:0036042
ACOT7,molecular_function,GO:0102991
ACOT7,biological_process,GO:0006637
ACOT7,biological_process,GO:0015937
ACOT7,biological_process,GO:0036114
ACOT7,biological_process,GO:0036116
ACOT7,biological_process,GO:0051792
ACOT7,biological_process,GO:1900535
ACOT7,biological_process,GO:1900535
ACOT7,molecular_function,GO:0016790
ACOT7,molecular_function,GO:0005515
ACOT7,cellular_component,GO:0005737
ACOT7,biological_process,GO:0006629
ACOT7,cellular_component,GO:0005654
ACOT7,cellular_component,GO:0005829
ACOT7,molecular_function,GO:0016787
ACOT7,cellular_component,GO:0005739
ACOT7,biological_process,GO:0006631
ACOT7,cellular_component,GO:0005829
ACOT7,molecular_function,GO:0052689
ACOT7,cellular_component,GO:0005829
ACOT7,cellular_component,GO:0005829
ACOT7,cellular_component,GO:0070062
ACOT7,cellular_component,GO:0005654
ACOT7,molecular_function,GO:0042803
ACOT7,molecular_function,GO:0000062
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0036042
ACOT7,molecular_function,GO:0036042
ACOT7,molecular_function,GO:0102991
ACOT7,biological_process,GO:0006637
ACOT7,biological_process,GO:0015937
ACOT7,biological_process,GO:0036114
ACOT7,biological_process,GO:0036116
ACOT7,biological_process,GO:0051792
ACOT7,biological_process,GO:1900535
ACOT7,biological_process,GO:1900535
ACOT7,molecular_function,GO:0016790
ACOT7,molecular_function,GO:0005515
ACOT7,cellular_component,GO:0005737
ACOT7,biological_process,GO:0006629
ACOT7,cellular_component,GO:0005654
ACOT7,cellular_component,GO:0005829
ACOT7,molecular_function,GO:0016787
ACOT7,cellular_component,GO:0005739
ACOT7,biological_process,GO:0006631
ACOT7,cellular_component,GO:0005829
ACOT7,molecular_function,GO:0052689
ACOT7,cellular_component,GO:0005829
ACOT7,cellular_component,GO:0005829
ACOT7,cellular_component,GO:0070062
ACOT7,cellular_component,GO:0005654
ACOT7,molecular_function,GO:0042803
ACOT7,molecular_function,GO:0000062
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0036042
ACOT7,molecular_function,GO:0036042
ACOT7,molecular_function,GO:0102991
ACOT7,biological_process,GO:0006637
ACOT7,biological_process,GO:0015937
ACOT7,biological_process,GO:0036114
ACOT7,biological_process,GO:0036116
ACOT7,biological_process,GO:0051792
ACOT7,biological_process,GO:1900535
ACOT7,biological_process,GO:1900535
ACOT7,molecular_function,GO:0005515
ACOT7,cellular_component,GO:0005737
ACOT7,biological_process,GO:0006629
ACOT7,cellular_component,GO:0005654
ACOT7,cellular_component,GO:0005829
ACOT7,molecular_function,GO:0016787
ACOT7,cellular_component,GO:0005739
ACOT7,biological_process,GO:0006631
ACOT7,cellular_component,GO:0005829
ACOT7,molecular_function,GO:0016790
ACOT7,molecular_function,GO:0052689
ACOT7,cellular_component,GO:0005829
ACOT7,cellular_component,GO:0005829
ACOT7,cellular_component,GO:0070062
ACOT7,cellular_component,GO:0005654
ACOT7,molecular_function,GO:0042803
ACOT7,molecular_function,GO:0000062
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0036042
ACOT7,molecular_function,GO:0036042
ACOT7,molecular_function,GO:0102991
ACOT7,biological_process,GO:0006637
ACOT7,biological_process,GO:0015937
ACOT7,biological_process,GO:0036114
ACOT7,biological_process,GO:0036116
ACOT7,biological_process,GO:0051792
ACOT7,biological_process,GO:1900535
ACOT7,biological_process,GO:1900535
ACOT7,molecular_function,GO:0005515
ACOT7,cellular_component,GO:0005737
ACOT7,biological_process,GO:0006629
ACOT7,cellular_component,GO:0005654
ACOT7,cellular_component,GO:0005829
ACOT7,molecular_function,GO:0016787
ACOT7,cellular_component,GO:0005739
ACOT7,biological_process,GO:0006631
ACOT7,cellular_component,GO:0005829
ACOT7,molecular_function,GO:0016790
ACOT7,molecular_function,GO:0052689
ACOT7,cellular_component,GO:0005829
ACOT7,cellular_component,GO:0005829
ACOT7,cellular_component,GO:0070062
ACOT7,cellular_component,GO:0005654
ACOT7,molecular_function,GO:0042803
ACOT7,molecular_function,GO:0000062
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0016290
ACOT7,molecular_function,GO:0036042
ACOT7,molecular_function,GO:0036042
ACOT7,molecular_function,GO:0102991
ACOT7,biological_process,GO:0006637
ACOT7,biological_process,GO:0015937
ACOT7,biological_process,GO:0036114
ACOT7,biological_process,GO:0036116
ACOT7,biological_process,GO:0051792
ACOT7,biological_process,GO:1900535
ACOT7,biological_process,GO:1900535
ACOT7,molecular_function,GO:0016790
ACOT7,molecular_function,GO:0016787
ACOT7,molecular_function,GO:0052689
ACOT7,,
ACTN2,molecular_function,GO:0005515
ACTN2,molecular_function,GO:0005515
ACTN2,molecular_function,GO:0005509
ACTN2,molecular_function,GO:0005515
ACTN2,cellular_component,GO:0005737
ACTN2,molecular_function,GO:0046872
ACTN2,cellular_component,GO:0005886
ACTN2,molecular_function,GO:0042802
ACTN2,molecular_function,GO:0003779
ACTN2,biological_process,GO:0007155
ACTN2,cellular_component,GO:0005856
ACTN2,cellular_component,GO:0005925
ACTN2,biological_process,GO:0045893
