"","ACVR1C","ADD2","ADHFE1","ARHGDIB","BMP3","BOLL","CD96","CHRNA6","CLDN10","CNR1","COL23A1","CSPP1","CST7","DLX5","EOMES","EVX1","FGF12","FNDC1","GDNF","GREB1","GREM1","HOXD10","HOXD13","HOXD8","HOXD9","IFI27","IKZF1","IMMP2L","KCNK12","KCNN2","KLF6","LRRC4","MIR1178","MIR129-2","MIR137","MIR196A1","NDRG4","NPBWR1","NPY","PHLDB2","PIK3R5","PIWIL1","PPP1R16B","PRDM2","RAB5A","REC8","SALL1","SALL3","SERPINB5","SH3D19","SLCO4C1","SLFN13","SOCS5","ST8SIA1","ST8SIA5","TBX18","WSB1","ZIK1","ZNF132","ZNF154","ZNF529","ZNF582","ZNF626","ZNF793","ASAM","C15orf38","FAM159A","ZNF542"
"IFI27",0.792,0.629,0.311,0.562,0.752,0.381,0.598,0.796,0.628,0.533,0.648,0.597,0.44,0.438,0.56,0.515,0.491,0.72,0.476,0.584,0.786,0.491,0.56,0.445,0.454,0,0.497,0.329,0.641,0.689,0.408,0.8,0.925,0.925,0.925,0.925,0.381,0.718,0.519,0.669,0.558,0.452,0.486,0.379,0.593,0.495,0.455,0.279,0.607,0.571,0.682,0.381,0.663,0.498,0.392,0.454,0.477,0.279,0.279,0.279,0.279,0.279,0.279,0.279,0.708,0.81,0.641,0.279
"IKZF1",0.769,0.5,0.47,0.434,0.696,0.159,0.523,0.741,0.557,0.604,0.537,0.545,0.514,0.244,0.329,0.342,0.368,0.573,0.54,0.446,0.674,0.173,0.329,0.329,0.249,0.497,0,0.668,0.573,0.649,0.166,0.762,0.49,0.49,0.49,0.49,0.455,0.679,0.563,0.522,0.404,0.347,0.323,0.303,0.533,0.356,0.203,0,0.515,0.31,0.733,0.159,0.482,0.619,0.548,0.245,0,0,0,0,0,0,0,0,0.662,0.715,0.573,0
"IMMP2L",0.784,0.733,0.435,0.674,0.813,0.616,0.66,0.831,0.714,0.682,0.778,0.713,0.65,0.62,0.682,0.705,0.682,0.825,0.654,0.695,0.842,0.67,0.682,0.621,0.64,0.329,0.668,0,0.678,0.77,0.609,0.848,0.885,0.885,0.885,0.885,0.611,0.763,0.709,0.769,0.681,0.649,0.674,0.568,0.748,0.681,0.646,0.572,0.705,0.694,0.762,0.616,0.683,0.604,0.559,0.641,0.684,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.786,0.881,0.678,0.572
"KCNK12",0.313,0.313,0.72,0,0.531,0.531,0.313,0.313,0.313,0.313,0.313,0.531,0.531,0.531,0.652,0.627,0.531,0.457,0.457,0,0.457,0.573,0.652,0.652,0.652,0.641,0.573,0.678,0,0,0.573,0.313,0.853,0.853,0.853,0.853,0.313,0,0.457,0.313,0,0.531,0.313,0.717,0.313,0.693,0.531,0.732,0.402,0.313,0.313,0.531,0.557,0,0.661,0.652,0.573,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.313,0.658,0,0.732
"KCNN2",0.486,0.46,0.707,0.453,0.644,0.454,0.401,0.46,0.44,0.47,0.434,0.582,0.634,0.585,0.665,0.505,0.558,0.457,0.566,0.473,0.476,0.619,0.665,0.661,0.657,0.689,0.649,0.77,0,0,0.617,0.411,0.853,0.853,0.853,0.853,0.433,0.331,0.577,0.47,0.42,0.581,0.442,0.705,0.51,0.676,0.59,0.652,0.471,0.461,0.532,0.454,0.619,0.438,0.661,0.673,0.545,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.346,0.658,0,0.652
"KLF6",0.785,0.452,0.355,0.385,0.685,0.159,0.524,0.753,0.551,0.548,0.564,0.447,0.453,0.151,0.195,0.223,0.303,0.573,0.473,0.356,0.685,0.15,0.195,0.199,0.073,0.408,0.166,0.609,0.573,0.617,0,0.766,0.881,0.881,0.881,0.881,0.4,0.688,0.503,0.479,0.372,0.278,0.276,0.196,0.48,0.293,0.124,0,0.517,0.245,0.709,0.159,0.529,0.58,0.447,0.146,0,0,0,0,0,0,0,0,0.636,0.715,0.573,0
"LRRC4",0.542,0.507,0.827,0.65,0.73,0.67,0.514,0.291,0.541,0.413,0.583,0.751,0.768,0.73,0.774,0.738,0.477,0.627,0.697,0.625,0.673,0.766,0.774,0.779,0.788,0.8,0.762,0.848,0.313,0.411,0.766,0,0.903,0.903,0.903,0.903,0.54,0.267,0.58,0.567,0.577,0.748,0.564,0.81,0.646,0.81,0.747,0.823,0.592,0.557,0.594,0.67,0.73,0.599,0.759,0.787,0.694,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.551,0.669,0.313,0.823
"MIR1178",0.898,0.765,0.925,0.853,0.871,0.871,0.871,0.89,0.871,0.871,0.643,0.871,0.871,0.871,0.902,0.902,0.871,0.853,0.853,0.853,0.853,0.733,0.902,0.902,0.902,0.925,0.49,0.885,0.853,0.853,0.881,0.903,0,0,0,0,0.871,0.853,0.853,0.853,0.834,0.871,0.853,0.919,0.853,0.765,0.871,0.938,0.871,0.881,0.903,0.871,0.834,0.853,0.951,0.829,0.881,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.853,0.91,0.853,0.938
"MIR129-2",0.898,0.765,0.925,0.853,0.871,0.871,0.871,0.89,0.871,0.871,0.643,0.871,0.871,0.871,0.902,0.902,0.871,0.853,0.853,0.853,0.853,0.733,0.902,0.902,0.902,0.925,0.49,0.885,0.853,0.853,0.881,0.903,0,0,0,0,0.871,0.853,0.853,0.853,0.834,0.871,0.853,0.919,0.853,0.765,0.871,0.938,0.871,0.881,0.903,0.871,0.834,0.853,0.951,0.829,0.881,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.853,0.91,0.853,0.938
"MIR137",0.898,0.765,0.925,0.853,0.871,0.871,0.871,0.89,0.871,0.871,0.643,0.871,0.871,0.871,0.902,0.902,0.871,0.853,0.853,0.853,0.853,0.733,0.902,0.902,0.902,0.925,0.49,0.885,0.853,0.853,0.881,0.903,0,0,0,0,0.871,0.853,0.853,0.853,0.834,0.871,0.853,0.919,0.853,0.765,0.871,0.938,0.871,0.881,0.903,0.871,0.834,0.853,0.951,0.829,0.881,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.853,0.91,0.853,0.938
