selection_model,train_model,features,fpr,tpr,threshold
DecisionTree,DecisionTree,1,"[0.0, 0.0, 0.10526315789473684, 0.2631578947368421, 0.3684210526315789, 1.0]","[0.0, 0.9685534591194969, 0.9874213836477987, 0.9937106918238994, 0.9937106918238994, 1.0]",[       inf 1.         0.66666667 0.6        0.33333333 0.        ]
DecisionTree,XGBoost,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10526315789473684, 0.2631578947368421, 0.2631578947368421, 1.0]","[0.0, 0.7295597484276729, 0.7861635220125787, 0.8050314465408805, 0.8616352201257862, 0.8805031446540881, 0.89937106918239, 0.9685534591194969, 0.9811320754716981, 0.9937106918238994, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0]","[       inf 0.9736345  0.97055143 0.96828574 0.96638894 0.9559064
 0.93837446 0.9336291  0.9292713  0.83395815 0.82380545 0.40381613
 0.3946052  0.14877082]"
DecisionTree,RandomForest,2,"[0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.47368421052631576, 0.631578947368421, 0.7368421052631579, 0.8421052631578947, 0.8947368421052632, 1.0]","[0.0, 0.8742138364779874, 0.9748427672955975, 0.9748427672955975, 0.9874213836477987, 0.9874213836477987, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.847      0.81666667 0.80366667 0.78333333
 0.53888889 0.04333333 0.03333333 0.02       0.01333333 0.01
 0.        ]"
DecisionTree,SVM,2,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.15789473684210525, 0.15789473684210525, 1.0]","[0.0, 0.006289308176100629, 0.9874213836477987, 0.9874213836477987, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0]","[       inf 0.99998656 0.96811285 0.93444606 0.93372133 0.81541098
 0.62665221 0.00798179]"
DecisionTree,DecisionTree,2,"[0.0, 0.10526315789473684, 0.15789473684210525, 1.0]","[0.0, 0.9937106918238994, 1.0, 1.0]",[ inf 1.   0.25 0.  ]
DecisionTree,XGBoost,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.2631578947368421, 0.3684210526315789, 0.42105263157894735, 1.0]","[0.0, 0.8238993710691824, 0.8742138364779874, 0.8930817610062893, 0.9056603773584906, 0.9119496855345912, 0.9245283018867925, 0.949685534591195, 0.9622641509433962, 0.9874213836477987, 0.9874213836477987, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.974963   0.97406375 0.9693607  0.9660514  0.9651702
 0.9639808  0.94916284 0.94699687 0.8366613  0.68759376 0.6151481
 0.607742   0.48519567 0.2492259  0.17146689 0.15140238 0.14263651]"
DecisionTree,RandomForest,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.3157894736842105, 0.5263157894736842, 0.5789473684210527, 1.0]","[0.0, 0.9119496855345912, 0.9245283018867925, 0.9685534591194969, 0.9748427672955975, 0.9874213836477987, 0.9874213836477987, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.93333333 0.9        0.83333333 0.8
 0.7        0.66666667 0.16666667 0.1        0.03333333 0.        ]"
DecisionTree,SVM,3,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.031446540880503145, 1.0, 1.0]",[       inf 1.         0.57633724 0.00306508]
DecisionTree,DecisionTree,3,"[0.0, 0.10526315789473684, 1.0]","[0.0, 0.9937106918238994, 1.0]",[inf  1.  0.]
DecisionTree,XGBoost,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.631578947368421, 1.0]","[0.0, 0.6352201257861635, 0.6540880503144654, 0.6666666666666666, 0.7044025157232704, 0.710691823899371, 0.7358490566037735, 0.7421383647798742, 0.7547169811320755, 0.7735849056603774, 0.7987421383647799, 0.8553459119496856, 0.9056603773584906, 0.9308176100628931, 0.9433962264150944, 1.0, 1.0, 1.0]","[       inf 0.99736893 0.99731064 0.9969459  0.99681586 0.99680185
 0.99599946 0.9947984  0.99443036 0.99430966 0.9927504  0.9917217
 0.9899692  0.9880939  0.98706865 0.8800807  0.02160541 0.01828874]"
