"","ACTBL2","ADAMTS16","B3GALT1","C10orf90","C1D","C1QL2","CCL7","CD40","CHL1","CLDN17","CLRN1","CLSTN2","CNTNAP2","COL23A1","COL4A1","DOK6","DRD4","EYA4","FIGN","FLG","FOXI2","GAP43","GATA2","GFRAL","GPR26","GSC2","HMGCLL1","INA","IRX4","ITGA8","KCNA1","KIFC3","KRTAP24-1","KY","MEST","MMP26","NALCN","NDRG4","NPR3","OR10J5","OR10S1","PCDH10","PIGB","PODN","RASGRF1","RIMS4","SALL1","SCN7A","SHISA2","SIRPG","SLC18A3","SLC4A11","SLC6A15","SLC6A2","SLITRK5","SORCS1","SOX21","ST6GALNAC5","SUB1","THBS4","TRDN","TRPC6","TWIST1","UNC5C","UNC5D","ZNF132","ZNF135","ZNF334","ZNF793","C6orf186","C8orf85","FAM19A4","WDR8"
"CLSTN2",0.56,0.598,0.94,0.69,0.575,0.395,0.561,0.477,0.509,0.524,0.212,0,0.425,0.512,0.537,0.212,0.576,0.382,0.597,0.322,0.88,0.526,0.584,0.559,0.89,0.638,0.595,0.545,0.547,0.498,0.636,0.544,0.754,0.881,0.487,0.721,0.649,0.453,0.488,0.904,0.904,0,0.922,0.741,0.693,0.44,0.479,0.945,0.212,0.212,0.617,0.787,0.677,0.551,0.212,0.503,0.825,0.907,0.578,0.376,0.464,0.623,0.591,0.538,0.89,0.627,0.436,0.436,0.627,0.89,0.212,0.453,0.212
"CNTNAP2",0.367,0.739,0.919,0.599,0.392,0.212,0.37,0.189,0,0.324,0,0.425,0,0.308,0.339,0,0.53,0.327,0.421,0.365,0.842,0.338,0.47,0.36,0.853,0.484,0.736,0.343,0.343,0.571,0.477,0.365,0.694,0.846,0.257,0.797,0.49,0.217,0.438,0.875,0.875,0.689,0.894,0.674,0.532,0.124,0.412,0.923,0,0,0.443,0.691,0.532,0.51,0,0.276,0.772,0.878,0.401,0.345,0.193,0.467,0.419,0.35,0.853,0.739,0.38,0.38,0.739,0.853,0,0.211,0
"COL23A1",0.445,0.764,0.918,0.675,0.495,0,0.331,0.369,0.343,0.298,0,0.512,0.308,0,0.178,0,0.56,0.46,0.535,0.424,0.841,0.436,0.528,0.484,0.853,0.568,0.761,0.393,0.475,0.64,0.57,0.48,0.402,0.846,0.412,0.814,0.593,0.337,0.503,0.875,0.875,0.689,0.893,0.556,0.623,0.333,0.505,0.923,0,0,0.559,0.738,0.624,0.576,0,0.431,0.778,0.878,0.451,0.302,0.362,0.545,0.479,0.465,0.853,0.757,0.496,0.496,0.757,0.853,0,0.365,0
"COL4A1",0.438,0.785,0.914,0.701,0.523,0.212,0.487,0.397,0.343,0.299,0,0.537,0.339,0.178,0,0,0.599,0.495,0.568,0.401,0.836,0.469,0.544,0.515,0.853,0.59,0.782,0.355,0.511,0.665,0.595,0.512,0.257,0.846,0.453,0.831,0.621,0.338,0.536,0.869,0.869,0.689,0.889,0.449,0.652,0.369,0.53,0.923,0,0,0.59,0.749,0.649,0.594,0,0.472,0.782,0.872,0.519,0.476,0.393,0.584,0.503,0.493,0.853,0.771,0.527,0.527,0.771,0.853,0,0.407,0
"DOK6",0,0.643,0.9,0.427,0,0.212,0,0,0.343,0,0,0.212,0,0,0,0,0,0,0,0,0.807,0,0,0,0.853,0,0.643,0,0,0.469,0,0,0.694,0.846,0,0.719,0,0,0,0.853,0.853,0.689,0.872,0.572,0.343,0,0,0.923,0,0,0,0.212,0,0,0,0,0.675,0.853,0,0,0,0,0,0,0.853,0.643,0,0,0.643,0.853,0,0,0
"DRD4",0.546,0.683,0.939,0.792,0.577,0,0.588,0.406,0.343,0.55,0,0.576,0.53,0.56,0.599,0,0,0.503,0.625,0.508,0.847,0.583,0.556,0.457,0.348,0.611,0.682,0.618,0.612,0.625,0.645,0.598,0.694,0.846,0.602,0.77,0.661,0.53,0.51,0.752,0.752,0.175,0.919,0.776,0.745,0.555,0.516,0.923,0,0,0.649,0.755,0.674,0.56,0,0.544,0.759,0.906,0.547,0.518,0.556,0.63,0.55,0.506,0.509,0.674,0.513,0.513,0.674,0.853,0,0.582,0
"EYA4",0.504,0.412,0.905,0.645,0.536,0.212,0.495,0.394,0.343,0.472,0,0.382,0.327,0.46,0.495,0,0.503,0,0.519,0.312,0.848,0.472,0.5,0.529,0.853,0.608,0.471,0.527,0.526,0.373,0.614,0.515,0.694,0.521,0.339,0.543,0.646,0.386,0.541,0.88,0.88,0.175,0.878,0.722,0.655,0.361,0.4,0.923,0,0,0.615,0.769,0.675,0.508,0,0.483,0.79,0.856,0.53,0.361,0.389,0.599,0.509,0.502,0.853,0.531,0.359,0.359,0.531,0.828,0,0.405,0
"FIGN",0.369,0.717,0.903,0.693,0.586,0.212,0.552,0.47,0.343,0.541,0,0.597,0.421,0.535,0.568,0,0.625,0.519,0,0.594,0.856,0.515,0.585,0.597,0.853,0.642,0.779,0.605,0.604,0.71,0.66,0.226,0.694,0.504,0.401,0.753,0.694,0.477,0.579,0.897,0.897,0.689,0.874,0.778,0.721,0.463,0.594,0.923,0,0,0.672,0.787,0.715,0.64,0,0.581,0.794,0.855,0.576,0.548,0.475,0.63,0.544,0.566,0.853,0.795,0.608,0.608,0.795,0.808,0,0.516,0
"FLG",0.484,0.486,0.921,0.724,0.546,0.212,0.508,0.42,0.343,0.378,0,0.322,0.365,0.424,0.401,0,0.508,0.312,0.594,0,0.846,0.492,0.475,0.541,0.853,0.61,0.482,0.421,0.541,0.386,0.616,0.538,0.257,0.846,0.488,0.547,0.645,0.407,0.552,0.878,0.878,0,0.896,0.639,0.678,0.399,0.402,0.923,0,0,0.617,0.764,0.67,0.502,0,0.507,0.787,0.882,0.54,0.308,0.419,0.605,0.517,0.517,0.853,0.518,0.367,0.367,0.518,0.853,0,0.442,0
"FOXI2",0.788,0.9,0.942,0.915,0.679,0.863,0.881,0.842,0.89,0.821,0.807,0.88,0.842,0.841,0.836,0.807,0.847,0.848,0.856,0.846,0,0.855,0.499,0.849,0.89,0.259,0.896,0.83,0.161,0.89,0.885,0.857,0.754,0.881,0.816,0.924,0.883,0.714,0.858,0.907,0.907,0.907,0.924,0.864,0.896,0.842,0.355,0.945,0.807,0.807,0.879,0.897,0.888,0.889,0.807,0.839,0.141,0.912,0.539,0.863,0.831,0.885,0.508,0.862,0.89,0.178,0.283,0.283,0.178,0.89,0.807,0.838,0.807
"GAP43",0.468,0.744,0.926,0.692,0.503,0.212,0.469,0.39,0.343,0.456,0,0.526,0.338,0.436,0.469,0,0.583,0.472,0.515,0.492,0.855,0,0.531,0.494,0.853,0.569,0.741,0.489,0.488,0.638,0.571,0.465,0.694,0.846,0.436,0.803,0.592,0.401,0.494,0.887,0.887,0.689,0.902,0.703,0.642,0.364,0.509,0.923,0,0,0.562,0.737,0.62,0.574,0,0.452,0.785,0.89,0.501,0.457,0.386,0.535,0.493,0.477,0.853,0.743,0.502,0.502,0.743,0.853,0,0.396,0
"GATA2",0.518,0.745,0.936,0.765,0.435,0.212,0.538,0.483,0.343,0.524,0,0.584,0.47,0.528,0.544,0,0.556,0.5,0.585,0.475,0.499,0.531,0,0.558,0.853,0.187,0.744,0.559,0.238,0.668,0.598,0.557,0.694,0.846,0.538,0.743,0.612,0.478,0.562,0.9,0.9,0.45,0.915,0.76,0.72,0.493,0.218,0.923,0,0,0.596,0.732,0.628,0.561,0,0.546,0.363,0.902,0.389,0.505,0.497,0.592,0.196,0.544,0.853,0.397,0.215,0.215,0.397,0.853,0,0.518,0
"GFRAL",0.459,0.801,0.922,0.72,0.548,0.212,0.51,0.198,0.343,0.484,0,0.559,0.36,0.484,0.515,0,0.457,0.529,0.597,0.541,0.849,0.494,0.558,0,0.343,0.612,0.798,0.544,0.544,0.658,0.618,0.541,0.694,0.846,0.492,0.843,0.647,0.386,0.421,0.555,0.555,0.689,0.897,0.751,0.643,0.402,0.553,0.923,0,0,0.619,0.762,0.673,0.61,0,0.368,0.793,0.883,0.542,0.502,0.406,0.607,0.518,0.29,0.343,0.785,0.556,0.556,0.785,0.853,0,0.446,0
"GPR26",0.671,0.913,0.946,0.929,0.853,0.89,0.853,0.343,0.913,0.79,0.853,0.89,0.853,0.853,0.853,0.853,0.348,0.853,0.853,0.853,0.89,0.853,0.853,0.343,0,0.853,0.913,0.853,0.853,0.913,0.853,0.853,0.79,0.903,0.853,0.939,0.853,0.671,0.252,0,0,0.929,0.929,0.89,0.913,0.853,0.853,0.96,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.334,0.853,0.913,0.853,0.853,0.853,0.853,0.853,0.361,0.361,0.89,0.853,0.853,0.89,0.913,0.853,0.853,0.853
"GSC2",0.556,0.815,0.933,0.784,0.314,0.212,0.575,0.515,0.343,0.566,0,0.638,0.484,0.568,0.59,0,0.611,0.608,0.642,0.61,0.259,0.569,0.187,0.612,0.853,0,0.813,0.619,0.152,0.747,0.658,0.602,0.694,0.846,0.592,0.861,0.683,0.515,0.603,0.896,0.896,0.689,0.91,0.766,0.746,0.519,0.205,0.923,0,0,0.667,0.777,0.7,0.642,0,0.605,0.12,0.898,0.262,0.574,0.523,0.65,0.217,0.587,0.853,0.281,0.197,0.197,0.281,0.853,0,0.561,0
"HMGCLL1",0.745,0.441,0.912,0.854,0.792,0.733,0.806,0.758,0.79,0.763,0.643,0.595,0.736,0.761,0.782,0.643,0.682,0.471,0.779,0.482,0.896,0.741,0.744,0.798,0.913,0.813,0,0.784,0.789,0.433,0.845,0.785,0.79,0.799,0.666,0.586,0.852,0.665,0.755,0.917,0.917,0.175,0.884,0.816,0.86,0.744,0.62,0.96,0.643,0.643,0.838,0.893,0.862,0.723,0.643,0.774,0.864,0.857,0.791,0.615,0.746,0.815,0.811,0.802,0.913,0.539,0.551,0.551,0.539,0.827,0.643,0.748,0.643
"INA",0.337,0.788,0.91,0.708,0.549,0.212,0.507,0.408,0.343,0.311,0,0.545,0.343,0.393,0.355,0,0.618,0.527,0.605,0.421,0.83,0.489,0.559,0.544,0.853,0.619,0.784,0,0.544,0.669,0.627,0.541,0.257,0.846,0.482,0.829,0.66,0.356,0.557,0.864,0.864,0.689,0.884,0.604,0.664,0.379,0.555,0.923,0,0,0.631,0.77,0.687,0.616,0,0.505,0.783,0.868,0.542,0.497,0.405,0.615,0.517,0.516,0.853,0.772,0.558,0.558,0.772,0.853,0,0.427,0
"IRX4",0.509,0.794,0.923,0.715,0.448,0.212,0.507,0.407,0.343,0.484,0,0.547,0.343,0.475,0.511,0,0.612,0.526,0.604,0.541,0.161,0.488,0.238,0.544,0.853,0.152,0.789,0.544,0,0.672,0.626,0.541,0.694,0.846,0.481,0.838,0.66,0.392,0.556,0.882,0.882,0.689,0.898,0.739,0.669,0.378,0.126,0.923,0,0,0.63,0.774,0.687,0.615,0,0.504,0.208,0.885,0.317,0.497,0.404,0.614,0.203,0.516,0.853,0.214,0.092,0.092,0.214,0.853,0,0.426,0
"ITGA8",0.671,0.435,0.946,0.801,0.679,0.589,0.63,0.619,0.667,0.652,0.469,0.498,0.571,0.64,0.665,0.469,0.625,0.373,0.71,0.386,0.89,0.638,0.668,0.658,0.913,0.747,0.433,0.669,0.672,0,0.756,0.677,0.79,0.903,0.608,0.593,0.768,0.563,0.686,0.915,0.915,0.175,0.933,0.685,0.666,0.578,0.529,0.956,0.469,0.469,0.741,0.857,0.788,0.646,0.469,0.63,0.855,0.919,0.7,0.316,0.541,0.727,0.715,0.687,0.913,0.517,0.453,0.453,0.517,0.913,0.469,0.536,0.469
"KCNA1",0.568,0.847,0.943,0.785,0.615,0.212,0.578,0.496,0.343,0.465,0,0.636,0.477,0.57,0.595,0,0.645,0.614,0.66,0.616,0.885,0.571,0.598,0.618,0.853,0.658,0.845,0.627,0.626,0.756,0,0.616,0.694,0.846,0.598,0.881,0.379,0.517,0.607,0.91,0.91,0.689,0.921,0.807,0.748,0.516,0.613,0.494,0,0,0.558,0.539,0.578,0.528,0,0.612,0.827,0.913,0.604,0.577,0.52,0.388,0.552,0.591,0.853,0.829,0.628,0.628,0.829,0.853,0,0.563,0
"KIFC3",0.333,0.775,0.93,0.527,0.537,0.212,0.507,0.42,0.343,0.491,0,0.544,0.365,0.48,0.512,0,0.598,0.515,0.226,0.538,0.857,0.465,0.557,0.541,0.853,0.602,0.785,0.541,0.541,0.677,0.616,0,0.694,0.722,0.391,0.819,0.645,0.423,0.542,0.9,0.9,0.689,0.905,0.757,0.682,0.399,0.55,0.923,0,0,0.617,0.766,0.67,0.589,0,0.507,0.79,0.891,0.531,0.498,0.419,0.585,0.517,0.47,0.853,0.784,0.552,0.552,0.784,0.853,0,0.442,0
"KRTAP24-1",0.37,0.79,0.854,0.813,0.694,0.754,0.694,0.694,0.79,0,0.694,0.754,0.694,0.402,0.257,0.694,0.694,0.694,0.694,0.257,0.754,0.694,0.694,0.694,0.79,0.694,0.79,0.257,0.694,0.79,0.694,0.694,0,0.789,0.694,0.828,0.694,0.37,0.694,0.79,0.79,0.813,0.813,0.402,0.79,0.694,0.694,0.887,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.79,0.694,0.694,0.694,0.694,0.694,0.694,0.79,0.754,0.694,0.694,0.754,0.79,0.694,0.694,0.694
"KY",0.683,0.333,0.843,0.684,0.846,0.881,0.846,0.846,0.903,0.789,0.846,0.881,0.846,0.846,0.846,0.846,0.846,0.521,0.504,0.846,0.881,0.846,0.846,0.846,0.903,0.846,0.799,0.846,0.846,0.903,0.846,0.722,0.789,0,0.313,0.333,0.846,0.683,0.846,0.903,0.903,0.917,0.799,0.881,0.903,0.846,0.846,0.95,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.764,0.846,0.846,0.846,0.846,0.846,0.846,0.903,0.881,0.846,0.846,0.881,0.764,0.846,0.846,0.846
"MEST",0.454,0.584,0.799,0.584,0.505,0.212,0.463,0.343,0.343,0.42,0,0.487,0.257,0.412,0.453,0,0.602,0.339,0.401,0.488,0.816,0.436,0.538,0.492,0.853,0.592,0.666,0.482,0.481,0.608,0.598,0.391,0.694,0.313,0,0.622,0.632,0.266,0.526,0.853,0.853,0.689,0.738,0.698,0.603,0.283,0.517,0.923,0,0,0.593,0.763,0.666,0.595,0,0.416,0.772,0.707,0.502,0.445,0.329,0.584,0.492,0.467,0.853,0.748,0.508,0.508,0.748,0.643,0,0.319,0
"MMP26",0.803,0.145,0.927,0.848,0.843,0.8,0.858,0.814,0.851,0.814,0.719,0.721,0.797,0.814,0.831,0.719,0.77,0.543,0.753,0.547,0.924,0.803,0.743,0.843,0.939,0.861,0.586,0.829,0.838,0.593,0.881,0.819,0.828,0.333,0.622,0,0.885,0.732,0.817,0.939,0.939,0.45,0.904,0.86,0.898,0.803,0.725,0.973,0.719,0.719,0.873,0.92,0.893,0.8,0.719,0.822,0.901,0.882,0.844,0.728,0.802,0.86,0.862,0.851,0.939,0.672,0.675,0.675,0.672,0.853,0.719,0.803,0.719
"NALCN",0.586,0.855,0.943,0.799,0.641,0.212,0.598,0.527,0.343,0.428,0,0.649,0.49,0.593,0.621,0,0.661,0.646,0.694,0.645,0.883,0.592,0.612,0.647,0.853,0.683,0.852,0.66,0.66,0.768,0.379,0.645,0.694,0.846,0.632,0.885,0,0.535,0.626,0.91,0.91,0.689,0.92,0.816,0.767,0.536,0.637,0,0,0,0.538,0.371,0.535,0.49,0,0.648,0.827,0.912,0.626,0.599,0.539,0.241,0.574,0.614,0.853,0.833,0.658,0.658,0.833,0.853,0,0.592,0
"NDRG4",0.282,0.681,0.811,0.581,0.446,0.212,0.433,0.274,0.343,0.297,0,0.453,0.217,0.337,0.338,0,0.53,0.386,0.477,0.407,0.714,0.401,0.478,0.386,0.671,0.515,0.665,0.356,0.392,0.563,0.517,0.423,0.37,0.683,0.266,0.732,0.535,0,0.471,0.716,0.716,0.689,0.746,0.596,0.515,0.234,0.442,0.826,0,0,0.514,0.641,0.57,0.532,0,0.322,0.652,0.725,0.45,0.411,0.248,0.519,0.446,0.383,0.671,0.667,0.434,0.434,0.667,0.671,0,0.258,0
"NPR3",0.515,0.758,0.927,0.744,0.558,0.212,0.53,0.366,0.343,0.505,0,0.488,0.438,0.503,0.536,0,0.51,0.541,0.579,0.552,0.858,0.494,0.562,0.421,0.252,0.603,0.755,0.557,0.556,0.686,0.607,0.542,0.694,0.846,0.526,0.817,0.626,0.471,0,0.696,0.696,0.681,0.904,0.724,0.7,0.466,0.556,0.923,0,0,0.606,0.728,0.646,0.6,0,0.355,0.786,0.891,0.542,0.525,0.474,0.509,0.488,0.442,0.505,0.752,0.558,0.558,0.752,0.853,0,0.499,0
"OR10J5",0.809,0.92,0.947,0.932,0.892,0.89,0.908,0.656,0.913,0.845,0.853,0.904,0.875,0.875,0.869,0.853,0.752,0.88,0.897,0.878,0.907,0.887,0.9,0.555,0,0.896,0.917,0.864,0.882,0.915,0.91,0.9,0.79,0.903,0.853,0.939,0.91,0.716,0.696,0,0,0.929,0.933,0.89,0.917,0.876,0.892,0.96,0.853,0.853,0.905,0.915,0.913,0.913,0.853,0.521,0.893,0.917,0.895,0.894,0.865,0.91,0.906,0.607,0.361,0.908,0.887,0.887,0.908,0.913,0.853,0.873,0.853
"OR10S1",0.809,0.92,0.947,0.932,0.892,0.89,0.908,0.656,0.913,0.845,0.853,0.904,0.875,0.875,0.869,0.853,0.752,0.88,0.897,0.878,0.907,0.887,0.9,0.555,0,0.896,0.917,0.864,0.882,0.915,0.91,0.9,0.79,0.903,0.853,0.939,0.91,0.716,0.696,0,0,0.929,0.933,0.89,0.917,0.876,0.892,0.96,0.853,0.853,0.905,0.915,0.913,0.913,0.853,0.521,0.893,0.917,0.895,0.894,0.865,0.91,0.906,0.607,0.361,0.908,0.887,0.887,0.908,0.913,0.853,0.873,0.853
"PCDH10",0.689,0.175,0.958,0.861,0.689,0.773,0.689,0.689,0.827,0.689,0.689,0,0.689,0.689,0.689,0.689,0.175,0.175,0.689,0,0.907,0.689,0.45,0.689,0.929,0.689,0.175,0.689,0.689,0.175,0.689,0.689,0.813,0.917,0.689,0.45,0.689,0.689,0.681,0.929,0.929,0,0.943,0.773,0.827,0.689,0.175,0.969,0.689,0.689,0.689,0.773,0.689,0.175,0.689,0.689,0.84,0.929,0.689,0,0.689,0.689,0.689,0.689,0.929,0.175,0.175,0.175,0.175,0.929,0.689,0.689,0.689
"PIGB",0.82,0.899,0.584,0.829,0.907,0.907,0.92,0.893,0.929,0.861,0.872,0.922,0.894,0.893,0.889,0.872,0.919,0.878,0.874,0.896,0.924,0.902,0.915,0.897,0.929,0.91,0.884,0.884,0.898,0.933,0.921,0.905,0.813,0.799,0.738,0.904,0.92,0.746,0.904,0.933,0.933,0.943,0,0.911,0.936,0.894,0.907,0.969,0.872,0.872,0.915,0.926,0.923,0.925,0.872,0.892,0.907,0.524,0.909,0.908,0.885,0.921,0.92,0.907,0.929,0.924,0.902,0.902,0.924,0.681,0.872,0.891,0.872
"PODN",0.68,0.82,0.93,0.844,0.741,0.671,0.754,0.701,0.733,0.594,0.572,0.741,0.674,0.556,0.449,0.572,0.776,0.722,0.778,0.639,0.864,0.703,0.76,0.751,0.89,0.766,0.816,0.604,0.739,0.685,0.807,0.757,0.402,0.881,0.698,0.86,0.816,0.596,0.724,0.89,0.89,0.773,0.911,0,0.816,0.682,0.75,0.945,0.572,0.572,0.8,0.865,0.829,0.802,0.572,0.722,0.827,0.894,0.74,0.69,0.689,0.793,0.761,0.753,0.89,0.812,0.738,0.738,0.812,0.89,0.572,0.69,0.572
"RASGRF1",0.65,0.862,0.95,0.811,0.643,0.509,0.605,0.587,0.613,0.626,0.343,0.693,0.532,0.623,0.652,0.343,0.745,0.655,0.721,0.678,0.896,0.642,0.72,0.643,0.913,0.746,0.86,0.664,0.669,0.666,0.748,0.682,0.79,0.903,0.603,0.898,0.767,0.515,0.7,0.917,0.917,0.827,0.936,0.816,0,0.55,0.696,0.96,0.343,0.343,0.738,0.856,0.787,0.753,0.343,0.624,0.864,0.921,0.665,0.599,0.492,0.739,0.692,0.671,0.913,0.855,0.69,0.69,0.855,0.913,0.343,0.512,0.343
"RIMS4",0.411,0.748,0.919,0.615,0.425,0.212,0.396,0.269,0.343,0.352,0,0.44,0.124,0.333,0.369,0,0.555,0.361,0.463,0.399,0.842,0.364,0.493,0.402,0.853,0.519,0.744,0.379,0.378,0.578,0.516,0.399,0.694,0.846,0.283,0.803,0.536,0.234,0.466,0.876,0.876,0.689,0.894,0.682,0.55,0,0.444,0.923,0,0,0.488,0.72,0.577,0.539,0,0.306,0.778,0.879,0.431,0.373,0.202,0.504,0.45,0.392,0.853,0.746,0.416,0.416,0.746,0.853,0,0.227,0
