selection_model,train_model,features,fpr,tpr,threshold
RandomForest,XGBoost,22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.36363636363636365, 1.0]","[0.0, 0.8, 0.85, 0.8625, 0.925, 0.95, 0.975, 1.0, 1.0, 1.0]","[      inf 0.5048869 0.5047299 0.5046972 0.5044798 0.5035941 0.5034142
 0.5002189 0.4963401 0.4951195]"
RandomForest,RandomForest,22,"[0.0, 0.0, 0.0, 0.18181818181818182, 0.18181818181818182, 0.45454545454545453, 1.0]","[0.0, 0.9625, 0.9875, 0.9875, 1.0, 1.0, 1.0]",[inf 1.  0.7 0.5 0.3 0.1 0. ]
RandomForest,SVM,22,"[0.0, 0.0, 0.0, 0.18181818181818182, 0.18181818181818182, 1.0]","[0.0, 0.0125, 0.9875, 0.9875, 1.0, 1.0]","[           inf 9.99999994e-01 9.77701539e-01 4.60717896e-02
 3.76641923e-02 5.59622372e-04]"
RandomForest,DecisionTree,22,"[0.0, 0.09090909090909091, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
RandomForest,XGBoost,23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.2727272727272727, 1.0]","[0.0, 0.825, 0.8625, 0.925, 0.975, 0.9875, 1.0, 1.0, 1.0]","[       inf 0.5048769  0.50393647 0.50390786 0.5000817  0.49914116
 0.49911264 0.49628147 0.49531248]"
RandomForest,RandomForest,23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.45454545454545453, 1.0]","[0.0, 0.8375, 0.925, 0.9625, 0.9875, 1.0, 1.0, 1.0]",[ inf 1.   0.95 0.9  0.85 0.45 0.05 0.  ]
RandomForest,SVM,23,"[0.0, 0.0, 0.0, 0.18181818181818182, 0.18181818181818182, 1.0]","[0.0, 0.1375, 0.9875, 0.9875, 1.0, 1.0]","[           inf 1.00000000e+00 8.95825765e-01 5.82099660e-02
 4.00270549e-02 9.90973531e-04]"
RandomForest,DecisionTree,23,"[0.0, 0.0, 1.0]","[0.0, 0.9875, 1.0]",[inf  1.  0.]
RandomForest,XGBoost,24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18181818181818182, 0.18181818181818182, 0.36363636363636365, 1.0]","[0.0, 0.7625, 0.8, 0.85, 0.9125, 0.9375, 0.9875, 0.9875, 1.0, 1.0, 1.0]","[       inf 0.5048872  0.5047301  0.5046253  0.50358963 0.50353456
 0.5022369  0.49883828 0.49841058 0.49707836 0.495128  ]"
RandomForest,RandomForest,24,"[0.0, 0.0, 0.0, 0.0, 0.2727272727272727, 0.2727272727272727, 0.36363636363636365, 1.0]","[0.0, 0.925, 0.975, 0.9875, 0.9875, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.8 0.3 0.2 0.1 0. ]
RandomForest,SVM,24,"[0.0, 0.0, 0.0, 0.18181818181818182, 0.18181818181818182, 1.0]","[0.0, 0.0125, 0.9875, 0.9875, 1.0, 1.0]",[       inf 0.99999999 0.97138093 0.04931616 0.0430242  0.0010869 ]
RandomForest,DecisionTree,24,"[0.0, 0.18181818181818182, 1.0]","[0.0, 0.9875, 1.0]",[inf  1.  0.]
RandomForest,XGBoost,25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18181818181818182, 0.18181818181818182, 0.36363636363636365, 1.0]","[0.0, 0.7625, 0.8, 0.85, 0.9125, 0.9375, 0.9875, 0.9875, 1.0, 1.0, 1.0]","[       inf 0.5048872  0.5047301  0.5046253  0.50358963 0.50353456
 0.5022369  0.49883828 0.49841058 0.49707836 0.495128  ]"
RandomForest,RandomForest,25,"[0.0, 0.0, 0.0, 0.09090909090909091, 0.18181818181818182, 0.18181818181818182, 0.36363636363636365, 1.0]","[0.0, 0.9625, 0.975, 0.9875, 0.9875, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.7 0.4 0.3 0.1 0. ]
RandomForest,SVM,25,"[0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 1.0]","[0.0, 0.0125, 0.9875, 0.9875, 1.0, 1.0]",[       inf 0.99999999 0.97215838 0.09326001 0.05225125 0.00112968]
RandomForest,DecisionTree,25,"[0.0, 0.18181818181818182, 1.0]","[0.0, 0.9875, 1.0]",[inf  1.  0.]
XGBoost,XGBoost,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5454545454545454, 0.7272727272727273, 1.0]","[0.0, 0.7625, 0.7875, 0.8375, 0.8625, 0.9, 0.925, 1.0, 1.0, 1.0, 1.0]","[       inf 0.93125737 0.92763734 0.92362714 0.92034394 0.91849196
 0.9099803  0.79097295 0.07691622 0.07448867 0.06896012]"
