Model,ID1,ID2,ID3,ID4,accuracy,sensitivity,specificity,precision,f1_score,mcc
Decision Tree,cg03623835,cg23998391,cg24959938,cg26097573,0.97,0.98,0.91,0.99,0.98,0.85
Decision Tree,cg06530558,cg23998391,cg24959938,cg26097573,0.97,0.98,0.91,0.99,0.98,0.85
Decision Tree,cg12315311,cg23998391,cg24959938,cg26097573,0.97,0.98,0.91,0.99,0.98,0.85
Decision Tree,cg03623835,cg23998391,cg08101264,cg26097573,0.92,0.92,0.91,0.99,0.95,0.71
Decision Tree,cg06530558,cg23998391,cg08101264,cg26097573,0.92,0.95,0.73,0.96,0.96,0.65
Decision Tree,cg12315311,cg23998391,cg08101264,cg26097573,0.95,0.95,0.91,0.99,0.97,0.78
Decision Tree,cg03623835,cg13995230,cg24959938,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
Decision Tree,cg06530558,cg13995230,cg24959938,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
Decision Tree,cg12315311,cg13995230,cg24959938,cg26097573,0.96,0.96,0.91,0.99,0.97,0.81
Decision Tree,cg03623835,cg13995230,cg08101264,cg26097573,0.95,0.95,0.91,0.99,0.97,0.78
Decision Tree,cg12315311,cg13995230,cg08101264,cg26097573,0.92,0.92,0.91,0.99,0.95,0.71
