train_model,test_model,features,AUC,accuracy (5-fold-Cross-Validation),accuracy,precision,recall,f1_score,MCC,J-index,incorrect predictions count
DT,DT,60,0.83019802,0.927374872,0.936936937,0.97,0.96039604,0.965174129,0.632803401,0.857729016,7
DT,RF,60,0.89009901,0.9409857,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,XGB,60,0.89009901,0.961440245,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,SVM,61,0.69009901,0.920607763,0.927927928,0.942857143,0.98019802,0.961165049,0.481393545,0.888323968,8
DT,LR,61,0.64009901,0.918360572,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,61,0.87029703,0.9409857,0.927927928,0.979381443,0.940594059,0.95959596,0.638691338,0.809116047,8
DT,RF,61,0.89009901,0.950102145,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,XGB,61,0.89009901,0.961440245,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,SVM,62,0.69009901,0.920633299,0.927927928,0.942857143,0.98019802,0.961165049,0.481393545,0.888323968,8
DT,LR,62,0.64009901,0.918360572,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,62,0.83019802,0.9159857,0.936936937,0.97,0.96039604,0.965174129,0.632803401,0.857729016,7
DT,RF,62,0.84009901,0.943258427,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
DT,XGB,62,0.94009901,0.9659857,0.972972973,0.99,0.98019802,0.985074627,0.843421624,0.933369013,3
DT,SVM,63,0.69009901,0.920607763,0.927927928,0.942857143,0.98019802,0.961165049,0.481393545,0.888323968,8
DT,LR,63,0.64009901,0.916087845,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,63,0.825247525,0.922803882,0.927927928,0.96969697,0.95049505,0.96,0.599786191,0.828918027,8
DT,RF,63,0.89009901,0.950102145,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,XGB,63,0.945049505,0.959167518,0.981981982,0.99009901,0.99009901,0.99009901,0.89009901,0.962180002,2
DT,SVM,64,0.69009901,0.918360572,0.927927928,0.942857143,0.98019802,0.961165049,0.481393545,0.888323968,8
DT,LR,64,0.64009901,0.916087845,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,64,0.82029703,0.934193054,0.918918919,0.969387755,0.940594059,0.954773869,0.570372896,0.800107038,9
DT,RF,64,0.99009901,0.950102145,0.981981982,1,0.98019802,0.99,0.90378741,0.942378022,2
DT,XGB,64,0.94009901,0.963712972,0.972972973,0.99,0.98019802,0.985074627,0.843421624,0.933369013,3
DT,SVM,65,0.69009901,0.916087845,0.927927928,0.942857143,0.98019802,0.961165049,0.481393545,0.888323968,8
DT,LR,65,0.64009901,0.916087845,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,65,0.825247525,0.916011236,0.927927928,0.96969697,0.95049505,0.96,0.599786191,0.828918027,8
DT,RF,65,0.94009901,0.947829418,0.972972973,0.99,0.98019802,0.985074627,0.843421624,0.933369013,3
DT,XGB,65,0.89009901,0.9659857,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,SVM,66,0.69009901,0.920633299,0.927927928,0.942857143,0.98019802,0.961165049,0.481393545,0.888323968,8
DT,LR,66,0.64009901,0.918360572,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,66,0.825247525,0.920556691,0.927927928,0.96969697,0.95049505,0.96,0.599786191,0.828918027,8
DT,RF,66,0.89009901,0.950102145,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,XGB,66,0.94009901,0.963712972,0.972972973,0.99,0.98019802,0.985074627,0.843421624,0.933369013,3
DT,SVM,67,0.69009901,0.92288049,0.927927928,0.942857143,0.98019802,0.961165049,0.481393545,0.888323968,8
DT,LR,67,0.64009901,0.913815117,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,67,0.82029703,0.92288049,0.918918919,0.969387755,0.940594059,0.954773869,0.570372896,0.800107038,9
DT,RF,67,0.94009901,0.950102145,0.972972973,0.99,0.98019802,0.985074627,0.843421624,0.933369013,3
DT,XGB,67,0.89009901,0.959167518,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,SVM,68,0.69009901,0.92288049,0.927927928,0.942857143,0.98019802,0.961165049,0.481393545,0.888323968,8
DT,LR,68,0.64009901,0.916087845,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,68,0.825247525,0.918309499,0.927927928,0.96969697,0.95049505,0.96,0.599786191,0.828918027,8
DT,RF,68,0.89009901,0.947803882,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,XGB,68,0.84009901,0.961440245,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
DT,SVM,69,0.74009901,0.92288049,0.936936937,0.951923077,0.98019802,0.965853659,0.565607764,0.897332977,7
DT,LR,69,0.64009901,0.920633299,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,69,0.825247525,0.922803882,0.927927928,0.96969697,0.95049505,0.96,0.599786191,0.828918027,8
DT,RF,69,0.84009901,0.952374872,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
DT,XGB,69,0.895049505,0.963712972,0.972972973,0.980392157,0.99009901,0.985221675,0.828744891,0.953170993,3
DT,SVM,70,0.69009901,0.920633299,0.927927928,0.942857143,0.98019802,0.961165049,0.481393545,0.888323968,8
DT,LR,70,0.64009901,0.913815117,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,70,0.825247525,0.911491318,0.927927928,0.96969697,0.95049505,0.96,0.599786191,0.828918027,8
DT,RF,70,0.84009901,0.945582227,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
DT,XGB,70,0.89009901,0.9659857,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,SVM,71,0.74009901,0.918335036,0.936936937,0.951923077,0.98019802,0.965853659,0.565607764,0.897332977,7
DT,LR,71,0.64009901,0.918360572,0.918918919,0.933962264,0.98019802,0.956521739,0.386801201,0.879314959,9
DT,DT,71,0.825247525,0.929622063,0.927927928,0.96969697,0.95049505,0.96,0.599786191,0.828918027,8
DT,RF,71,0.89009901,0.952349336,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
DT,XGB,71,0.89009901,0.968258427,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
