selection_model,train_model,features,accuracy,recall,specificity,precision,f1_score,J-index,AUC,MCC,Mean cross-validated score,Best parameters
XGBoost,Decision Tree,60,0.909297052154195,0.9102244389027432,0.9,0.989159891598916,0.948051948051948,0.8102244389027433,0.9051122194513715,0.6295468995273175,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
XGBoost,SVM,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9568947906026558,"{'C': 100, 'kernel': 'rbf'}"
XGBoost,XGBoost,65,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
XGBoost,Random Forest,65,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
XGBoost,Decision Tree,65,0.9115646258503401,0.912718204488778,0.9,0.9891891891891892,0.9494163424124513,0.8127182044887782,0.9063591022443891,0.6350561606113304,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
XGBoost,SVM,65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9636874361593464,"{'C': 50, 'kernel': 'rbf'}"
XGBoost,XGBoost,70,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
XGBoost,Random Forest,70,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
XGBoost,Decision Tree,70,0.909297052154195,0.9102244389027432,0.9,0.989159891598916,0.948051948051948,0.8102244389027433,0.9051122194513715,0.6295468995273175,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
XGBoost,SVM,70,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9659601634320735,"{'C': 50, 'kernel': 'rbf'}"
XGBoost,XGBoost,75,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
XGBoost,Random Forest,75,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
XGBoost,Decision Tree,75,0.909297052154195,0.912718204488778,0.875,0.9865229110512129,0.9481865284974094,0.787718204488778,0.893859102244389,0.6190661951164147,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
XGBoost,SVM,75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9614402451481103,"{'C': 50, 'kernel': 'rbf'}"
XGBoost,XGBoost,80,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
XGBoost,Random Forest,80,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
XGBoost,Decision Tree,80,0.9115646258503401,0.912718204488778,0.9,0.9891891891891892,0.9494163424124513,0.8127182044887782,0.9063591022443891,0.6350561606113304,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
XGBoost,SVM,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9682328907048008,"{'C': 100, 'kernel': 'rbf'}"
Random Forest,XGBoost,20,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
Random Forest,Random Forest,20,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Random Forest,Decision Tree,20,0.9138321995464853,0.9152119700748129,0.9,0.9892183288409704,0.9507772020725389,0.815211970074813,0.9076059850374065,0.6406734916772646,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Random Forest,SVM,20,0.9863945578231292,0.9850374064837906,1.0,1.0,0.992462311557789,0.9850374064837906,0.9925187032418953,0.9255021699097437,0.9637129724208376,"{'C': 50, 'kernel': 'rbf'}"
Random Forest,XGBoost,25,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
Random Forest,Random Forest,25,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Random Forest,Decision Tree,25,0.9138321995464853,0.9152119700748129,0.9,0.9892183288409704,0.9507772020725389,0.815211970074813,0.9076059850374065,0.6406734916772646,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Random Forest,SVM,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9591675178753831,"{'C': 200, 'kernel': 'rbf'}"
Random Forest,XGBoost,30,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
Random Forest,Random Forest,30,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Random Forest,Decision Tree,30,0.909297052154195,0.912718204488778,0.875,0.9865229110512129,0.9481865284974094,0.787718204488778,0.893859102244389,0.6190661951164147,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Random Forest,SVM,30,0.9931972789115646,0.9925187032418953,1.0,1.0,0.9962453066332916,0.9925187032418954,0.9962593516209477,0.9608710695603455,0.947829417773238,"{'C': 50, 'kernel': 'rbf'}"
Random Forest,XGBoost,35,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
Random Forest,Random Forest,35,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Random Forest,Decision Tree,35,0.9138321995464853,0.9152119700748129,0.9,0.9892183288409704,0.9507772020725389,0.815211970074813,0.9076059850374065,0.6406734916772646,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Random Forest,SVM,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9659346271705822,"{'C': 50, 'kernel': 'rbf'}"
Random Forest,XGBoost,40,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'colsample_bytree': 0.6, 'learning_rate': 0.001, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.6}"
Random Forest,Random Forest,40,0.909297052154195,1.0,0.0,0.909297052154195,0.9524940617577197,0.0,0.5,0.0,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Random Forest,Decision Tree,40,0.9138321995464853,0.9152119700748129,0.9,0.9892183288409704,0.9507772020725389,0.815211970074813,0.9076059850374065,0.6406734916772646,0.9092951991828396,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
