"","ALOX12","APLNR","CD46","CDH5","CEACAM5","CHRNA6","CKLF","CLEC9A","CMTM5","CRISP2","CRTC1","CSMD1","CX3CL1","CXCL17","CYP1A1","DGKA","EGF","FOXP4","GJB5","GLP1R","GNA13","HIPK3","HMGB1","HOXA3","IL32","IVL","KCNE3","KLK12","KRT75","LCOR","MIR1-1","MIR1180","MIR124-3","MIR134","MIR141","MIR346","MIR493","MUC1","NAT1","NEFM","PANX3","PCYT2","PDCD1LG2","PGC","PRSS1","PTF1A","RAB6B","RING1","SALL3","SDR9C7","SFRP5","SLC4A1","SOX1","SPAG6","SSTR5","TGM2","TNFRSF9","TP73","XAF1"
"GNA13",0.219,0,0.329,0.386,0.334,0.525,0.475,0.507,0.476,0.407,0.241,0,0.368,0.407,0.6,0.295,0.416,0.574,0.468,0.421,0,0.245,0.427,0.553,0.346,0.273,0.383,0.557,0.365,0.579,0.664,0.853,0.853,0.664,0.664,0.853,0.407,0.326,0,0.528,0.528,0.496,0.455,0.407,0.595,0.435,0.409,0.437,0,0.414,0.407,0.37,0.574,0.522,0.551,0.239,0.523,0.363,0.394
"HIPK3",0.29,0,0.531,0.377,0.457,0.545,0.555,0.551,0.558,0.588,0.015,0.313,0.432,0.588,0.454,0.276,0.526,0.391,0.468,0.446,0.245,0,0.382,0.306,0.376,0.169,0.402,0.591,0.418,0.296,0.695,0.871,0.871,0.695,0.695,0.871,0.588,0.351,0,0.491,0.56,0.424,0.461,0.588,0.622,0.287,0.37,0.253,0,0.228,0.588,0.486,0.391,0.457,0.556,0.304,0.507,0.205,0.16
"HMGB1",0.506,0.341,0.433,0.434,0.473,0.672,0.515,0.585,0.563,0,0.369,0.457,0.41,0,0.513,0.546,0.38,0.481,0.372,0.626,0.427,0.382,0,0.418,0.487,0.448,0.537,0.381,0.569,0.471,0.607,0.733,0.733,0.607,0.607,0.733,0,0.331,0.477,0.564,0.716,0.522,0.489,0,0.519,0.367,0.386,0.412,0,0.456,0,0.535,0.481,0.359,0.713,0.38,0.692,0.331,0.429
"HOXA3",0.632,0.743,0.709,0.571,0.704,0.774,0.682,0.681,0.687,0.684,0.28,0.652,0.673,0.684,0.371,0.655,0.678,0.0610000000000001,0.843,0.699,0.553,0.306,0.418,0,0.645,0.452,0.682,0.672,0.638,0.112,0.754,0.902,0.902,0.754,0.754,0.902,0.684,0.374,0.6,0.568,0.777,0.596,0.705,0.684,0.702,0.244,0.509,0.262,0,0.328,0.684,0.687,0.0610000000000001,0.421,0.771,0.412,0.777,0.174,0.329
"IL32",0.172,0.313,0.374,0.488,0.305,0.561,0.128,0.312,0.115,0,0.375,0,0.274,0,0.669,0.141,0.39,0.639,0.63,0.283,0.346,0.376,0.487,0.645,0,0.343,0.475,0.294,0.39,0.69,0.401,0.853,0.853,0.401,0.401,0.853,0,0.424,0,0.538,0.536,0.44,0.365,0,0.293,0.496,0.413,0.569,0.66,0.412,0,0.396,0.639,0.534,0.527,0.445,0.499,0.452,0.347
"IVL",0.203,0.154,0.422,0.48,0.407,0.589,0.515,0.57,0.513,0.407,0.168,0.402,0.427,0.407,0.574,0.324,0.433,0.529,0.575,0.491,0.273,0.169,0.448,0.452,0.343,0,0.422,0.544,0.237,0.489,0.63,0.871,0.871,0.63,0.63,0.871,0.407,0.337,0,0.451,0.594,0.453,0.481,0.407,0.569,0.399,0.421,0.393,0.329,0.35,0.407,0.415,0.529,0.462,0.59,0.318,0.556,0.327,0.255
"KCNE3",0.36,0,0.484,0.494,0.416,0.437,0.537,0.533,0.538,0.588,0.401,0.313,0.343,0.588,0.702,0.375,0.488,0.689,0.468,0.429,0.383,0.402,0.537,0.682,0.475,0.422,0,0.608,0.484,0.722,0.703,0.871,0.871,0.703,0.703,0.871,0.588,0.417,0.159,0.548,0.538,0.574,0.46,0.588,0.637,0.57,0.524,0.627,0.54,0.54,0.588,0.447,0.689,0.611,0.455,0.447,0.499,0.543,0.516
"KLK12",0.486,0.627,0.345,0.612,0.437,0.678,0.197,0.525,0.276,0,0.59,0.457,0.365,0,0.67,0.531,0.306,0.666,0.795,0.559,0.557,0.591,0.381,0.672,0.294,0.544,0.608,0,0.593,0.7,0.36,0.853,0.853,0.36,0.36,0.853,0,0.437,0.556,0.639,0.683,0.534,0.356,0,0.221,0.593,0.47,0.689,0.671,0.531,0,0.555,0.666,0.397,0.674,0.573,0.688,0.554,0.552
"KRT75",0.259,0.154,0.445,0.58,0.418,0.611,0.542,0.613,0.543,0.407,0.417,0.402,0.479,0.407,0.675,0.368,0.461,0.633,0.575,0.518,0.365,0.418,0.569,0.638,0.39,0.237,0.484,0.593,0,0.711,0.667,0.881,0.881,0.667,0.667,0.881,0.407,0.397,0,0.343,0.614,0.568,0.506,0.407,0.599,0.545,0.504,0.608,0.66,0.519,0.407,0.419,0.633,0.524,0.609,0.394,0.567,0.506,0.459
"LCOR",0.676,0.786,0.741,0.598,0.744,0.808,0.724,0.721,0.726,0.739,0.267,0.717,0.725,0.739,0.346,0.7,0.699,0.216,0.863,0.738,0.579,0.296,0.471,0.112,0.69,0.489,0.722,0.7,0.711,0,0.789,0.919,0.919,0.789,0.789,0.919,0.739,0.48,0.66,0.681,0.805,0.621,0.748,0.739,0.744,0.392,0.522,0.316,0,0.302,0.739,0.753,0.216,0.495,0.8,0.531,0.803,0.269,0.312
