selection_model,train_model,features,fpr,tpr,threshold
RandomForest,SVM,1,"[0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.03508771929824561, 0.03508771929824561, 0.05263157894736842, 0.05263157894736842, 0.07017543859649122, 0.07017543859649122, 0.12280701754385964, 0.12280701754385964, 0.21052631578947367, 0.21052631578947367, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.3684210526315789, 0.45614035087719296, 0.45614035087719296, 0.5087719298245614, 0.5087719298245614, 0.5614035087719298, 0.5614035087719298, 0.5964912280701754, 0.5964912280701754, 0.6140350877192983, 0.6140350877192983, 0.6491228070175439, 0.6491228070175439, 1.0, 1.0]","[0.0, 0.001841620626151013, 0.9337016574585635, 0.9337016574585635, 0.9410681399631676, 0.9410681399631676, 0.9502762430939227, 0.9502762430939227, 0.9650092081031307, 0.9650092081031307, 0.9705340699815838, 0.9705340699815838, 0.9742173112338858, 0.9742173112338858, 0.9760589318600368, 0.9760589318600368, 0.9797421731123389, 0.9797421731123389, 0.9834254143646409, 0.9834254143646409, 0.9852670349907919, 0.9852670349907919, 0.9871086556169429, 0.9871086556169429, 0.988950276243094, 0.988950276243094, 0.990791896869245, 0.990791896869245, 0.994475138121547, 0.994475138121547, 0.996316758747698, 0.996316758747698, 1.0]","[       inf 1.         0.9884307  0.98701192 0.97142903 0.96447421
 0.86782068 0.86473619 0.67042519 0.65191986 0.58631883 0.40348893
 0.39396612 0.34615148 0.34174587 0.29990663 0.2985354  0.28047733
 0.2709004  0.25575054 0.25391212 0.25335376 0.25107484 0.24366473
 0.242195   0.24090145 0.24031252 0.23724396 0.23241961 0.23045607
 0.2303783  0.21920552 0.21913587]"
RandomForest,DecisionTree,1,"[0.0, 0.0, 0.05263157894736842, 0.15789473684210525, 0.21052631578947367, 1.0]","[0.0, 0.9705340699815838, 0.9871086556169429, 0.998158379373849, 1.0, 1.0]",[ inf 1.   0.75 0.5  0.25 0.  ]
RandomForest,XGBoost,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017543859649122806, 0.03508771929824561, 0.07017543859649122, 0.12280701754385964, 0.24561403508771928, 0.2807017543859649, 0.3157894736842105, 0.42105263157894735, 0.631578947368421, 0.7017543859649122, 0.7368421052631579, 1.0]","[0.0, 0.8287292817679558, 0.8471454880294659, 0.858195211786372, 0.8784530386740331, 0.8839779005524862, 0.8931860036832413, 0.8968692449355433, 0.9023941068139963, 0.9097605893186004, 0.9355432780847146, 0.9373848987108656, 0.9410681399631676, 0.9465930018416207, 0.9539594843462247, 0.9686924493554327, 0.9705340699815838, 0.9742173112338858, 0.9815837937384899, 0.9852670349907919, 0.990791896869245, 0.994475138121547, 0.994475138121547, 0.994475138121547, 0.994475138121547, 0.998158379373849, 0.998158379373849, 0.998158379373849, 0.998158379373849, 1.0, 1.0, 1.0, 1.0]","[       inf 0.99795973 0.9978442  0.9977221  0.99762815 0.99718153
 0.9970278  0.99685967 0.99677    0.99576557 0.9899665  0.973279
 0.97251904 0.9543013  0.94409096 0.8918735  0.87421983 0.85809594
 0.77304786 0.76719666 0.5779457  0.5495047  0.42204258 0.39930883
 0.2216427  0.21194263 0.20519029 0.12333933 0.11309575 0.10491008
 0.09253641 0.08122025 0.05264676]"
RandomForest,RandomForest,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.03508771929824561, 0.03508771929824561, 0.05263157894736842, 0.05263157894736842, 0.07017543859649122, 0.07017543859649122, 0.14035087719298245, 0.14035087719298245, 0.17543859649122806, 0.19298245614035087, 0.19298245614035087, 0.21052631578947367, 0.24561403508771928, 0.3508771929824561, 0.42105263157894735, 0.5087719298245614, 0.543859649122807, 0.5614035087719298, 0.5964912280701754, 0.6491228070175439, 0.7192982456140351, 0.8070175438596491, 1.0]","[0.0, 0.9281767955801105, 0.9392265193370166, 0.9502762430939227, 0.9539594843462247, 0.9594843462246777, 0.9631675874769797, 0.9686924493554327, 0.9723756906077348, 0.9815837937384899, 0.9815837937384899, 0.9852670349907919, 0.9852670349907919, 0.988950276243094, 0.988950276243094, 0.992633517495396, 0.992633517495396, 0.996316758747698, 0.996316758747698, 0.998158379373849, 0.998158379373849, 0.998158379373849, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.97142857 0.95714286 0.9375     0.925
 0.91666667 0.87142857 0.86666667 0.81138889 0.79444444 0.78
 0.77638889 0.73333333 0.70019841 0.66666667 0.5672619  0.33166667
 0.23166667 0.23095238 0.21428571 0.20666667 0.20416667 0.19642857
 0.17833333 0.1025     0.095      0.07083333 0.05416667 0.05178571
 0.05       0.03333333 0.025      0.02       0.        ]"
RandomForest,SVM,2,"[0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.03508771929824561, 0.03508771929824561, 0.07017543859649122, 0.07017543859649122, 0.08771929824561403, 0.08771929824561403, 0.3684210526315789, 0.3684210526315789, 0.43859649122807015, 0.43859649122807015, 0.9824561403508771, 0.9824561403508771, 1.0]","[0.0, 0.001841620626151013, 0.9834254143646409, 0.9834254143646409, 0.9871086556169429, 0.9871086556169429, 0.990791896869245, 0.990791896869245, 0.992633517495396, 0.992633517495396, 0.994475138121547, 0.994475138121547, 0.996316758747698, 0.996316758747698, 0.998158379373849, 0.998158379373849, 1.0, 1.0]","[       inf 0.99999994 0.90238387 0.88674019 0.72990566 0.70085838
 0.59942546 0.48213419 0.29491004 0.23972193 0.23931542 0.09333139
 0.09179832 0.08530977 0.08408078 0.0271288  0.02555829 0.02505872]"
RandomForest,DecisionTree,2,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
RandomForest,XGBoost,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.05263157894736842, 0.05263157894736842, 0.14035087719298245, 0.17543859649122806, 0.19298245614035087, 0.24561403508771928, 0.2807017543859649, 0.3684210526315789, 0.3684210526315789, 0.40350877192982454, 0.42105263157894735, 0.49122807017543857, 0.5263157894736842, 0.5964912280701754, 0.6140350877192983, 0.6491228070175439, 0.7017543859649122, 0.7543859649122807, 0.8596491228070176, 1.0]","[0.0, 0.8895027624309392, 0.8913443830570903, 0.8987108655616943, 0.9023941068139963, 0.9244935543278084, 0.9281767955801105, 0.9300184162062615, 0.9337016574585635, 0.9355432780847146, 0.9410681399631676, 0.9429097605893186, 0.9576427255985267, 0.9723756906077348, 0.994475138121547, 0.994475138121547, 0.996316758747698, 0.996316758747698, 0.998158379373849, 0.998158379373849, 0.998158379373849, 0.998158379373849, 0.998158379373849, 0.998158379373849, 0.998158379373849, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.99763083 0.997127   0.9950187  0.992393   0.99185365
 0.9915848  0.9910159  0.9909655  0.99051416 0.99017674 0.9888053
 0.98728114 0.9836293  0.7138433  0.6822527  0.663455   0.21327929
 0.17997293 0.09865777 0.09294808 0.09153887 0.08577366 0.08354938
 0.07644562 0.07526585 0.07278564 0.06987481 0.065279   0.06133969
 0.05441718 0.04737603 0.04133104 0.03928073 0.03434466 0.03197079
 0.03037011]"
RandomForest,RandomForest,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03508771929824561, 0.03508771929824561, 0.543859649122807, 0.5964912280701754, 0.7017543859649122, 0.7368421052631579, 0.7719298245614035, 0.8771929824561403, 1.0]","[0.0, 0.9134438305709024, 0.9208103130755064, 0.9226519337016574, 0.9263351749539595, 0.9337016574585635, 0.9373848987108656, 0.9447513812154696, 0.9502762430939227, 0.996316758747698, 0.996316758747698, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.996      0.995      0.99333333 0.99
 0.988      0.98166667 0.98       0.60780952 0.53633333 0.35940476
 0.05333333 0.05       0.02666667 0.019      0.01666667 0.004
 0.        ]"
RandomForest,SVM,3,"[0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.03508771929824561, 0.03508771929824561, 0.05263157894736842, 0.05263157894736842, 0.19298245614035087, 0.19298245614035087, 0.9122807017543859, 0.9122807017543859, 1.0]","[0.0, 0.001841620626151013, 0.9871086556169429, 0.9871086556169429, 0.992633517495396, 0.992633517495396, 0.994475138121547, 0.994475138121547, 0.996316758747698, 0.996316758747698, 0.998158379373849, 0.998158379373849, 1.0, 1.0]","[       inf 0.99999994 0.89479484 0.87259604 0.74818796 0.7069109
 0.49289161 0.36783269 0.29512037 0.12629739 0.10221728 0.02651476
 0.02386327 0.02134696]"
RandomForest,DecisionTree,3,"[0.0, 0.0, 0.017543859649122806, 1.0]","[0.0, 0.998158379373849, 1.0, 1.0]",[inf 1.  0.5 0. ]
RandomForest,XGBoost,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.03508771929824561, 0.05263157894736842, 0.12280701754385964, 1.0]","[0.0, 0.8453038674033149, 0.8471454880294659, 0.8637200736648251, 0.8913443830570903, 0.8968692449355433, 0.9060773480662984, 0.9189686924493554, 0.9244935543278084, 0.9263351749539595, 0.9337016574585635, 0.9373848987108656, 0.9429097605893186, 0.9465930018416207, 0.9539594843462247, 0.9558011049723757, 0.9631675874769797, 0.9650092081031307, 0.9686924493554327, 0.996316758747698, 0.996316758747698, 0.998158379373849, 0.998158379373849, 1.0, 1.0, 1.0]","[       inf 0.9764974  0.97418684 0.9738945  0.97283494 0.97264683
 0.9715872  0.9715055  0.96710813 0.96558917 0.96431553 0.96404505
 0.9610786  0.9606489  0.9603173  0.9601191  0.9594282  0.95685947
 0.956369   0.6356884  0.6095857  0.46473262 0.36499053 0.33978605
 0.24603735 0.14920987]"
RandomForest,RandomForest,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017543859649122806, 0.05263157894736842, 0.08771929824561403, 0.12280701754385964, 0.19298245614035087, 0.40350877192982454, 1.0]","[0.0, 0.9705340699815838, 0.9834254143646409, 0.994475138121547, 0.998158379373849, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.95 0.85 0.8  0.75 0.45 0.35 0.2  0.15 0.1  0.05 0.  ]
RandomForest,SVM,4,"[0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.3157894736842105, 0.3157894736842105, 1.0]","[0.0, 0.001841620626151013, 0.996316758747698, 0.996316758747698, 0.998158379373849, 0.998158379373849, 1.0, 1.0]","[       inf 1.         0.93508805 0.87830503 0.69579719 0.0277821
 0.02591924 0.00486322]"
RandomForest,DecisionTree,4,"[0.0, 0.0, 0.017543859649122806, 0.05263157894736842, 1.0]","[0.0, 0.994475138121547, 0.998158379373849, 1.0, 1.0]",[       inf 1.         0.66666667 0.33333333 0.        ]
RandomForest,XGBoost,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.07017543859649122, 0.07017543859649122, 0.2807017543859649, 0.3157894736842105, 0.3508771929824561, 0.38596491228070173, 0.40350877192982454, 0.43859649122807015, 0.45614035087719296, 0.49122807017543857, 0.5087719298245614, 0.543859649122807, 0.5964912280701754, 0.6491228070175439, 0.6842105263157895, 0.7543859649122807, 1.0]","[0.0, 0.6519337016574586, 0.6795580110497238, 0.6832412523020258, 0.7016574585635359, 0.7366482504604052, 0.7587476979742173, 0.7661141804788214, 0.7716390423572744, 0.7753222836095764, 0.7882136279926335, 0.7900552486187845, 0.8139963167587477, 0.8213627992633518, 0.8324125230202578, 0.8360957642725598, 0.8434622467771639, 0.85451197053407, 0.8747697974217311, 0.8802946593001841, 0.8876611418047882, 0.8913443830570903, 0.8931860036832413, 0.9005524861878453, 0.9226519337016574, 0.9373848987108656, 0.9429097605893186, 0.9484346224677717, 0.9558011049723757, 0.9576427255985267, 0.9613259668508287, 0.996316758747698, 0.996316758747698, 0.998158379373849, 0.998158379373849, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9963354  0.9961725  0.9961708  0.99615365 0.99612266
 0.9960007  0.99598277 0.995823   0.9958026  0.99575377 0.99570113
 0.99559975 0.9955434  0.99496055 0.9945422  0.994439   0.9931251
 0.9928203  0.9924332  0.99172544 0.9916855  0.9913852  0.9909603
 0.98254836 0.980796   0.97847193 0.9775195  0.9718859  0.9699776
 0.96621644 0.6419345  0.5891057  0.45893568 0.35352504 0.3307911
 0.09236535 0.08891694 0.08216543 0.07880325 0.07812644 0.07486096
 0.07177428 0.0711532  0.06852999 0.06842811 0.0611778  0.0607787
 0.05972125 0.05183206 0.04833816]"
RandomForest,RandomForest,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.12280701754385964, 0.15789473684210525, 0.2807017543859649, 1.0]","[0.0, 0.9779005524861878, 0.9871086556169429, 0.994475138121547, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.93333333 0.85       0.8        0.4
 0.2        0.15       0.1        0.        ]"
